,userId,movieId,rating
43,0,632,4.0
73,0,911,5.0
171,0,1979,4.0
183,0,2126,4.0
120,0,1493,5.0
219,0,2674,5.0
220,0,2696,4.0
227,0,2802,4.0
6,0,89,5.0
24,0,384,4.0
184,0,2145,5.0
96,0,1126,4.0
197,0,2259,4.0
14,0,201,4.0
59,0,810,4.0
20,0,314,4.0
179,0,2028,5.0
97,0,1146,4.0
12,0,190,3.0
206,0,2431,3.0
153,0,1796,5.0
208,0,2440,5.0
98,0,1154,5.0
101,0,1183,3.0
108,0,1298,5.0
215,0,2581,5.0
168,0,1957,5.0
18,0,291,5.0
29,0,476,4.0
13,0,197,5.0
57,0,797,4.0
200,0,2302,5.0
11,0,184,5.0
27,0,436,3.0
229,0,2847,4.0
109,0,1319,4.0
1,0,2,4.0
165,0,1917,5.0
162,0,1883,5.0
61,0,820,5.0
67,0,863,5.0
110,0,1326,4.0
82,0,955,5.0
114,0,1407,5.0
45,0,705,5.0
222,0,2733,5.0
15,0,224,5.0
65,0,836,5.0
60,0,815,5.0
185,0,2157,5.0
141,0,1628,4.0
129,0,1556,3.0
118,0,1480,5.0
116,0,1444,4.0
140,0,1617,5.0
22,0,325,4.0
182,0,2103,4.0
142,0,1644,4.0
216,0,2603,4.0
139,0,1601,4.0
133,0,1567,4.0
125,0,1522,4.0
143,0,1674,2.0
39,0,559,3.0
217,0,2608,4.0
49,0,767,3.0
113,0,1401,4.0
211,0,2571,4.0
212,0,2572,4.0
70,0,900,5.0
68,0,898,5.0
228,0,2836,5.0
75,0,915,4.0
178,0,2020,5.0
69,0,899,5.0
202,0,2310,4.0
188,0,2216,5.0
121,0,1503,4.0
166,0,1939,5.0
191,0,2220,5.0
78,0,923,5.0
89,0,990,5.0
77,0,921,5.0
25,0,398,5.0
224,0,2765,5.0
46,0,720,5.0
7,0,97,4.0
115,0,1431,5.0
189,0,2218,5.0
190,0,2219,5.0
117,0,1475,4.0
2,0,5,4.0
164,0,1905,5.0
196,0,2256,5.0
156,0,1826,5.0
218,0,2636,4.0
221,0,2713,4.0
195,0,2254,5.0
33,0,509,4.0
86,0,974,5.0
187,0,2193,4.0
100,0,1181,5.0
94,0,1084,3.0
17,0,275,3.0
154,0,1806,4.0
145,0,1691,4.0
163,0,1904,3.0
213,0,2573,5.0
102,0,1190,5.0
26,0,418,4.0
23,0,367,3.0
225,0,2788,5.0
172,0,1986,4.0
40,0,592,4.0
58,0,801,5.0
126,0,1526,5.0
5,0,62,3.0
226,0,2798,4.0
150,0,1768,4.0
44,0,701,5.0
204,0,2388,4.0
194,0,2250,5.0
66,0,856,4.0
155,0,1814,3.0
134,0,1576,5.0
32,0,508,4.0
123,0,1516,4.0
19,0,307,4.0
37,0,546,3.0
170,0,1972,2.0
159,0,1858,5.0
132,0,1562,4.0
21,0,320,5.0
173,0,1987,5.0
157,0,1842,4.0
107,0,1261,3.0
99,0,1171,4.0
30,0,484,4.0
55,0,788,5.0
41,0,594,3.0
130,0,1557,5.0
92,0,1060,3.0
50,0,781,5.0
0,0,0,4.0
186,0,2182,5.0
181,0,2077,5.0
88,0,981,5.0
52,0,783,5.0
199,0,2287,5.0
136,0,1595,5.0
137,0,1597,5.0
124,0,1517,5.0
56,0,789,5.0
138,0,1599,5.0
127,0,1543,5.0
38,0,551,5.0
131,0,1559,4.0
35,0,513,5.0
128,0,1553,5.0
53,0,786,5.0
51,0,782,5.0
135,0,1577,5.0
230,0,2991,4.0
122,0,1505,5.0
54,0,787,3.0
4,0,46,5.0
36,0,520,5.0
74,0,914,5.0
103,0,1218,5.0
62,0,828,5.0
16,0,257,3.0
144,0,1687,4.0
167,0,1946,5.0
93,0,1076,3.0
193,0,2248,4.0
111,0,1332,5.0
104,0,1220,4.0
112,0,1333,4.0
169,0,1971,4.0
152,0,1790,2.0
207,0,2434,3.0
151,0,1788,5.0
48,0,734,5.0
72,0,909,4.0
147,0,1734,5.0
192,0,2226,5.0
232,1,277,3.0
246,1,7372,4.0
260,1,8828,5.0
258,1,8550,3.5
253,1,8063,3.5
256,1,8466,4.0
235,1,2674,4.0
251,1,7768,3.5
244,1,7258,4.0
252,1,7776,2.5
245,1,7323,3.0
236,1,4615,4.0
237,1,5305,3.5
254,1,8305,5.0
243,1,7154,3.0
241,1,6801,5.0
238,1,6253,4.0
233,1,291,4.0
239,1,6315,4.0
240,1,6710,4.5
255,1,8376,3.0
242,1,7010,4.5
249,1,7590,4.0
248,1,7436,5.0
272,2,974,3.5
279,2,1567,2.0
274,2,1054,3.0
267,2,696,0.5
270,2,962,0.5
277,2,1544,0.5
261,2,30,0.5
265,2,585,0.5
285,2,2765,5.0
266,2,656,5.0
263,2,545,0.5
271,2,971,0.5
268,2,832,0.5
280,2,1701,4.0
284,2,2416,0.5
294,2,4595,5.0
296,2,5080,5.0
290,2,4045,5.0
289,2,3734,5.0
287,2,3335,5.0
298,2,7114,5.0
292,2,4122,5.0
282,2,2141,5.0
297,2,5504,4.5
275,2,1190,4.5
291,2,4050,4.5
295,2,5052,4.5
283,2,2280,4.5
299,2,7185,0.5
276,2,1493,0.5
273,2,1000,0.5
293,2,4273,0.5
310,3,143,3.0
350,3,684,4.0
436,3,1753,4.0
328,3,361,2.0
394,3,1002,3.0
458,3,2226,2.0
448,3,2036,2.0
309,3,135,5.0
341,3,515,2.0
345,3,604,3.0
335,3,471,5.0
423,3,1494,2.0
327,3,326,4.0
391,3,982,5.0
456,3,2197,4.0
453,3,2136,5.0
443,3,1949,5.0
366,3,819,2.0
459,3,2238,2.0
379,3,901,2.0
421,3,1444,5.0
447,3,2020,5.0
424,3,1541,4.0
313,3,183,5.0
346,3,628,4.0
334,3,444,1.0
407,3,1299,5.0
438,3,1791,5.0
321,3,278,5.0
360,3,783,4.0
318,3,224,5.0
312,3,161,2.0
331,3,398,5.0
368,3,824,5.0
337,3,485,2.0
364,3,815,4.0
356,3,701,5.0
425,3,1543,5.0
392,3,987,4.0
419,3,1424,5.0
349,3,681,4.0
390,3,981,5.0
355,3,696,5.0
338,3,506,4.0
382,3,914,4.0
431,3,1650,4.0
396,3,1113,5.0
446,3,2014,4.0
399,3,1154,4.0
402,3,1218,2.0
351,3,686,4.0
441,3,1855,4.0
333,3,429,5.0
406,3,1298,4.0
401,3,1199,1.0
343,3,546,3.0
462,3,2297,5.0
405,3,1290,4.0
320,3,257,1.0
442,3,1939,1.0
303,3,43,2.0
301,3,31,2.0
397,3,1124,4.0
316,3,201,2.0
451,3,2084,2.0
357,3,702,5.0
361,3,799,5.0
365,3,817,5.0
395,3,1071,1.0
354,3,694,5.0
352,3,690,5.0
353,3,692,5.0
385,3,949,5.0
430,3,1640,5.0
380,3,905,5.0
409,3,1348,5.0
332,3,413,5.0
404,3,1284,1.0
314,3,189,1.0
323,3,303,4.0
414,3,1384,4.0
433,3,1697,1.0
476,3,2605,2.0
473,3,2517,5.0
478,3,2623,5.0
305,3,52,3.0
319,3,228,5.0
322,3,300,5.0
375,3,891,5.0
370,3,833,3.0
358,3,711,5.0
386,3,958,4.0
378,3,900,3.0
393,3,990,4.0
377,3,899,5.0
376,3,898,5.0
336,3,472,1.0
467,3,2393,1.0
435,3,1741,2.0
481,3,2831,3.0
466,3,2382,4.0
454,3,2145,5.0
373,3,884,4.0
381,3,912,1.0
384,3,926,4.0
408,3,1300,3.0
474,3,2526,4.0
413,3,1381,2.0
452,3,2097,5.0
371,3,840,5.0
369,3,826,5.0
468,3,2394,4.0
469,3,2413,4.0
429,3,1628,5.0
383,3,920,4.0
339,3,510,5.0
449,3,2078,4.0
432,3,1651,5.0
342,3,520,5.0
415,3,1390,3.0
362,3,808,3.0
465,3,2328,5.0
311,3,148,5.0
437,3,1761,4.0
434,3,1730,1.0
412,3,1376,3.0
411,3,1374,4.0
444,3,1960,5.0
315,3,198,5.0
420,3,1443,2.0
387,3,964,4.0
416,3,1396,4.0
347,3,676,4.0
472,3,2510,3.0
403,3,1232,4.0
307,3,108,5.0
304,3,47,3.0
324,3,306,4.0
398,3,1146,4.0
470,3,2442,4.0
326,3,315,3.0
439,3,1796,3.0
348,3,680,5.0
464,3,2325,3.0
374,3,886,1.0
450,3,2079,1.0
340,3,512,3.0
460,3,2259,4.0
496,3,3042,3.0
501,3,3152,5.0
498,3,3087,3.0
499,3,3103,3.0
495,3,3016,5.0
306,3,94,4.0
330,3,391,2.0
490,3,3004,3.0
445,3,1979,1.0
317,3,211,3.0
477,3,2608,1.0
308,3,109,1.0
410,3,1363,2.0
388,3,965,4.0
359,3,718,3.0
487,3,2983,4.0
494,3,3015,4.0
485,3,2916,3.0
486,3,2959,4.0
483,3,2880,5.0
491,3,3005,4.0
492,3,3010,3.0
479,3,2644,2.0
493,3,3011,3.0
475,3,2546,4.0
553,4,508,5.0
554,4,509,3.0
524,4,123,3.0
542,4,337,2.0
533,4,257,5.0
544,4,398,4.0
551,4,506,4.0
525,4,126,3.0
537,4,302,3.0
556,4,512,5.0
535,4,275,2.0
538,4,307,3.0
536,4,277,3.0
523,4,97,4.0
521,4,46,4.0
518,4,32,4.0
540,4,322,3.0
548,4,461,5.0
520,4,35,3.0
516,4,0,4.0
558,4,514,3.0
541,4,325,4.0
547,4,450,3.0
530,4,228,3.0
555,4,511,5.0
539,4,315,2.0
522,4,52,5.0
529,4,225,4.0
517,4,20,4.0
552,4,507,3.0
559,4,520,3.0
549,4,464,4.0
543,4,355,3.0
557,4,513,5.0
519,4,33,4.0
528,4,217,3.0
808,5,509,3.0
