,genres
0,"[0, 2, 3, 4, 5]"
1,"[0, 3, 5]"
2,"[4, 7]"
3,"[4, 6, 7]"
4,[4]
5,"[14, 13, 8]"
6,"[4, 7]"
7,"[0, 3]"
8,[14]
9,"[14, 0, 8]"
10,"[4, 6, 7]"
11,"[4, 1]"
12,"[0, 2, 3]"
13,[6]
14,"[14, 0, 7]"
15,"[13, 6]"
16,"[6, 7]"
17,[4]
18,[4]
19,"[14, 4, 13, 6, 8]"
20,"[4, 13, 8]"
21,"[13, 6, 1, 10, 8]"
22,"[14, 13, 8]"
23,"[6, 9]"
24,"[6, 7]"
25,[6]
26,"[3, 6]"
27,"[6, 7]"
28,"[0, 6, 5, 10, 9]"
29,"[13, 6]"
30,[6]
31,"[10, 9, 8]"
32,"[3, 6]"
33,"[13, 6]"
34,"[3, 4]"
35,"[4, 7]"
36,[6]
37,"[6, 11]"
38,"[14, 13, 6]"
39,[6]
40,"[14, 0, 5]"
41,"[4, 6, 8]"
42,"[6, 7]"
43,"[10, 8]"
44,"[2, 3, 6, 12, 7]"
45,"[6, 7]"
46,"[13, 10, 8]"
47,"[4, 6, 7]"
48,"[0, 6]"
49,"[3, 4]"
50,[6]
51,[6]
52,"[4, 6, 7]"
53,"[0, 3, 5]"
54,"[6, 8]"
55,[6]
56,"[4, 13]"
57,"[4, 7]"
58,[4]
59,"[14, 9, 8]"
60,"[4, 7]"
61,[4]
62,"[14, 4, 1, 8]"
63,[14]
64,"[4, 6]"
65,"[6, 11]"
66,"[6, 7]"
67,"[4, 6]"
68,"[14, 9, 8]"
69,[18]
70,"[14, 13, 6, 8]"
71,"[6, 8]"
72,"[3, 6]"
73,"[13, 6, 7]"
74,"[4, 6]"
75,"[6, 7]"
76,"[6, 7]"
77,"[14, 0, 6]"
78,"[3, 4]"
79,[4]
80,"[14, 8]"
81,"[6, 1, 8]"
82,"[4, 1, 7]"
83,"[4, 6, 7]"
84,"[14, 0, 8]"
85,"[4, 6]"
86,"[13, 6]"
87,[18]
88,"[6, 8]"
89,"[0, 4, 13, 7]"
90,[4]
91,"[10, 9, 8]"
92,[4]
93,"[6, 7]"
94,"[4, 6]"
95,"[0, 3, 4, 12]"
96,[18]
97,"[14, 6, 11]"
98,"[13, 6, 8]"
99,"[14, 0, 4, 13]"
100,"[6, 10]"
101,[18]
102,"[13, 6]"
103,"[4, 7]"
104,[4]
105,[6]
106,"[4, 7]"
107,"[6, 10, 7]"
108,[4]
109,"[0, 3, 5]"
110,[18]
111,"[4, 7]"
112,[8]
113,[4]
114,[18]
115,"[6, 7]"
116,[4]
117,[4]
118,"[14, 4, 13, 6, 8]"
119,"[0, 3]"
120,[6]
121,[6]
122,"[13, 6, 8]"
123,"[0, 6, 15]"
124,"[14, 6, 7, 11]"
125,"[6, 1]"
126,"[14, 0, 4, 13]"
127,[6]
128,"[0, 6, 11]"
129,"[4, 6]"
130,"[4, 11]"
131,"[0, 3]"
132,"[13, 6, 10]"
133,"[14, 0, 10, 9]"
134,"[6, 8, 11]"
135,[18]
136,"[14, 7, 16]"
137,"[13, 17, 10, 8]"
138,"[14, 13, 8]"
139,"[4, 13, 6]"
140,"[14, 6, 7]"
141,"[0, 3, 6]"
142,"[14, 0, 13, 8]"
143,"[4, 6]"
144,"[14, 9, 8]"
145,"[14, 13, 9]"
146,[4]
147,[6]
148,[4]
149,[1]
150,"[4, 6]"
151,"[6, 7]"
152,"[4, 7]"
153,"[14, 3]"
154,"[4, 1, 8]"
155,[6]
156,"[14, 13, 8]"
157,"[4, 7]"
158,[4]
159,"[5, 1, 10]"
160,"[4, 5]"
161,[8]
162,"[6, 7]"
163,[6]
164,"[4, 6]"
165,"[4, 6, 7]"
166,"[1, 9]"
167,"[14, 13, 6, 10, 9, 8]"
168,"[6, 12, 7]"
169,"[6, 5]"
170,"[6, 7]"
171,[4]
172,[14]
173,"[4, 6]"
174,[18]
175,"[6, 7]"
176,"[14, 0, 9]"
177,[6]
178,[16]
179,[6]
180,"[0, 4, 13, 10]"
181,[6]
182,"[6, 11]"
183,"[6, 7]"
184,[4]
185,"[6, 8]"
186,"[4, 6]"
187,[6]
188,[1]
189,"[6, 7]"
190,[4]
191,"[4, 6, 7]"
192,"[6, 8]"
193,"[14, 8]"
194,[4]
195,"[6, 8]"
196,"[6, 8]"
197,"[0, 4]"
198,"[4, 6, 7]"
199,[6]
200,[4]
201,"[4, 6]"
202,"[14, 4, 7]"
203,"[4, 7]"
204,"[0, 3]"
205,"[2, 3, 4, 7]"
206,[8]
207,"[3, 6]"
208,"[6, 12]"
209,"[3, 4, 5]"
210,[18]
211,"[13, 6]"
212,[4]
213,"[6, 7]"
214,"[3, 4]"
215,[14]
216,"[4, 7]"
217,"[6, 1]"
218,[6]
219,[4]
220,"[4, 9]"
221,"[10, 8]"
222,"[0, 3, 4, 5, 7]"
223,"[13, 6, 8]"
224,"[14, 0, 9]"
225,[6]
226,"[3, 6]"
227,[6]
228,"[6, 5, 7]"
229,"[6, 7, 11, 16]"
230,[4]
231,[6]
232,"[6, 7]"
233,[6]
234,"[4, 6]"
235,"[6, 1, 9]"
236,[4]
237,[4]
238,"[4, 7]"
239,[6]
240,[4]
241,[6]
242,"[6, 8]"
243,"[4, 6, 7]"
244,[6]
245,"[13, 6]"
246,"[14, 13]"
247,"[6, 1]"
248,"[4, 7]"
249,"[14, 13, 8]"
250,"[4, 7]"
251,"[13, 6]"
252,"[6, 8]"
253,"[14, 6, 9, 8]"
254,"[14, 13, 6, 8]"
255,"[4, 7]"
256,"[4, 7]"
257,"[4, 13, 6, 8]"
258,[6]
259,[6]
260,[6]
261,"[6, 7]"
262,"[6, 7]"
263,"[14, 8, 16]"
264,"[4, 6]"
265,[4]
266,[6]
267,[6]
268,"[4, 6]"
269,[4]
270,"[1, 8]"
271,[4]
272,"[2, 3]"
273,"[3, 6, 5, 10]"
274,"[14, 6, 8]"
275,"[14, 0, 9]"
276,"[4, 6, 5]"
277,"[13, 6]"
278,"[4, 6, 8]"
279,"[17, 8]"
280,[6]
281,"[4, 6]"
282,"[4, 6]"
283,[4]
284,[6]
285,"[14, 4, 9]"
286,"[1, 8]"
287,"[0, 6, 9]"
288,"[14, 13, 1]"
289,[6]
290,"[1, 9]"
291,[4]
292,[6]
293,"[10, 8]"
294,"[6, 11]"
295,[6]
296,"[14, 9, 8]"
297,"[4, 7]"
298,"[0, 6, 11]"
299,[6]
300,[4]
301,[3]
302,[4]
303,"[4, 6]"
304,"[6, 12]"
305,"[6, 17, 7]"
306,[4]
307,"[14, 13, 6, 8]"
308,"[6, 10, 8]"
309,"[4, 6, 7]"
310,"[4, 6]"
311,"[14, 13, 5, 8]"
312,[6]
313,"[3, 4, 5]"
314,"[4, 6, 7, 11]"
315,"[4, 7]"
316,[6]
317,"[4, 6, 7]"
318,"[14, 4]"
319,"[4, 6, 7]"
